artist,total_weeks,count
112,6,1
911,1,1
10CC,4,3
2 CHAINZ,2,1
2 UNLIMITED,5,1
21 SAVAGE,4,1
2PAC,3,1
3 OF A KIND,1,1
5 SECONDS OF SUMMER,1,1
A-HA,2,1
A1,2,2
AALIYAH,1,1
ABBA,31,9
ACE OF BASE,3,1
ADAM & THE ANTS,9,2
ADAM ANT,2,1
ADAM FAITH,4,2
ADAMSKI,4,1
ADELE,8,2
AFROJACK,3,1
AFROMAN,3,1
AKON,4,3
AL MARTINO,9,1
ALESSO,1,1
ALEXANDRA BURKE,6,3
ALICE COOPER,3,1
ALL SAINTS,7,5
ALMA COGAN,2,1
ALOE BLACC,1,1
ALTHEA AND DONNA,1,1
ALVIN STARDUST,1,1
AME,2,1
AMELLE BERRABAH,1,1
AMEN CORNER,2,1
ANDY WILLIAMS,2,1
ANEKA,1,1
ANIMALS,1,1
ANITA WARD,2,1
ANNE SHELTON,4,1
ANOTHER LEVEL,1,1
ANTHONY NEWLEY,5,2
AQUA,7,3
ARCHIES,8,1
ARCTIC MONKEYS,2,2
ARETHA FRANKLIN,2,1
ARIANA GRANDE,2,2
ARMAND VAN HELDEN,3,2
ART GARFUNKEL,8,2
ARTISTS FOR GRENFELL,1,1
ASHANTI,1,1
ASWAD,2,1
ATB,2,1
ATOMIC KITTEN,9,3
AVERY STORM,2,1
AVICII,4,2
B BUMBLE & THE STINGERS,1,1
B.O.B,4,3
B*WITCHED,6,4
BABY D,2,1
BABYLON ZOO,5,1
BACCARA,1,1
BACHELORS,1,1
BACKSTREET BOYS,1,1
BADDIEL & SKINNER,5,2
BAND AID,13,4
BAND AID 20,4,1
BAND AID 30,1,1
BAND AID II,3,1
BANGLES,4,1
BARBARA DICKSON,4,1
BARBARA GASKIN,4,1
BARBRA STREISAND,3,1
BARRY WHITE,2,1
BASSHUNTER,5,1
BAY CITY ROLLERS,9,2
BAZ LUHRMANN,1,1
BEACH BOYS,3,2
BEATLES,69,17
BEATS INTERNATIONAL,4,1
BEAUTIFUL SOUTH,1,1
BEBE WINANS,1,1
BECKY HILL,1,1
BEE GEES,13,5
BELINDA CARLISLE,2,1
BEN E. KING,3,1
BEN HAENOW,1,1
BENNY HILL,4,1
BERLIN,4,1
BEYONCE,10,5
BILL HALEY & HIS COMETS,6,1
BILLIE,2,2
BILLIE PIPER,1,1
BILLY CONNOLLY,1,1
BILLY J. KRAMER & THE DAKOTAS,3,1
BILLY JOEL,5,1
BILLY OCEAN,4,1
BINGO PLAYERS,2,1
BLACK BOX,6,1
BLACK EYED PEAS,12,5
BLACK LEGEND,1,1
BLAZIN' SQUAD,1,1
BLONDIE,13,6
BLU CANTRELL,4,1
BLUE,3,3
BLUEBELLS,4,1
BLUR,3,2
BOB THE BUILDER,4,2
BOBBY DARIN,6,2
BOBBIE GENTRY,1,1
BOMBALURINA,3,1
BONEY M,9,2
BONNIE TYLER,2,1
BOOMTOWN RATS,6,2
BORIS GARDINER,3,1
BOY GEORGE,2,1
BOYZ II MEN,3,1
BOYZONE,9,6
