06/07/2017,LUIS FONSI & DADDY YANKEE FT JUSTIN BIEBER,3,DESPACITO
27/07/2017,DJ KHALED FT RIHANNA & BRYSON TILLER,1,WILD THOUGHTS
03/08/2017,LUIS FONSI & DADDY YANKEE FT JUSTIN BIEBER,2,DESPACITO
17/08/2017,"CALVIN HARRIS FT PHARRELL, KATY PERRY & BIG SEAN",1,FEELS
24/08/2017,DUA LIPA,2,NEW RULES
07/09/2017,TAYLOR SWIFT,2,LOOK WHAT YOU MADE ME DO
21/09/2017,SAM SMITH,3,TOO GOOD AT GOODBYES
12/10/2017,POST MALONE FT 21 SAVAGE,4,ROCKSTAR
09/11/2017,CAMILA CABELLO FT YOUNG THUG,5,HAVANA
14/12/2017,ED SHEERAN,5,PERFECT
