artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
112,6,1,7urq0VfqxEYEEiZUkebXT4,,,
911,1,1,3H7pODXycF821OnRyAw2VT,https://i.scdn.co/image/f972df1044b32b7c795ec61f65c8d5f380137a45,160,160
10CC,4,3,6i6WlGzQtXtz7GcC5H5st5,https://i.scdn.co/image/1dbe9a022c919976c86e7240eac6d9ff21306d8e,200,132
2 CHAINZ,2,1,17lzZA2AlOHwCwFALHttmp,https://i.scdn.co/image/6d96184a942c83524860133a8d87d35a324c7364,160,160
2 UNLIMITED,5,1,18JD8DVlD1fakDAw7E9LFC,https://i.scdn.co/image/9632b771cdc8b54aa8e8d0b0f0b8b6d3895b0304,64,64
21 SAVAGE,4,1,1URnnhqYAYcrqrcwql10ft,https://i.scdn.co/image/b31d1b94f4da2d9647b351791b77e4c076262853,160,160
2PAC,3,1,1ZwdS5xdxEREPySFridCfh,https://i.scdn.co/image/0334d2f0cd1eb65f81831c4ddf4a0b249479564c,200,200
3 OF A KIND,1,1,0WG74hoaVTaNb3hx3yRqb1,https://i.scdn.co/image/2cebd3f36464a0e2383d538bea345960cf98fcfc,64,64
5 SECONDS OF SUMMER,1,1,5Rl15oVamLq7FbSb0NNBNy,https://i.scdn.co/image/8d3c123a82edcfb99987aff76b4fb385e0ad61c3,160,160
A-HA,2,1,2jzc5TC5TVFLXQlBNiIUzE,https://i.scdn.co/image/9932849b7e42a167b0e2992435ba3c276d59b37c,200,150
A1,2,2,7p9MSyFCxViOWWEVlrpMBM,https://i.scdn.co/image/6fc573ffbc8ec522c97e7a8bced13099797d55b1,64,64
AALIYAH,1,1,0urTpYCsixqZwgNTkPJOJ4,https://i.scdn.co/image/9626fa5d1780fbfb5a09fa5329ef9ced1478be17,200,200
ABBA,31,9,0LcJLqbBmaGUft1e9Mm8HV,https://i.scdn.co/image/8584e226df70ee30e7981d82cfbca2a4f1a4c58a,160,160
ACE OF BASE,3,1,5ksRONqssB7BR161NTtJAm,https://i.scdn.co/image/1ac301a42a23cb9e941fe8d08cccf8ddd5744fec,200,200
ADAM & THE ANTS,9,2,2DppeCnNtvrLfEobq9Pw5r,https://i.scdn.co/image/b85d870b9ec8644480a6b6000195e77c1072cb14,200,286
ADAM ANT,2,1,3QP0XPDwbvGivqDAaJ5f5G,https://i.scdn.co/image/32140b59ef0faeae6f9a8fbb27cbb5a916c43cc1,64,49
ADAM FAITH,4,2,284fAcjDaBYlPBLZnQkZU0,https://i.scdn.co/image/04cacdf7d5530e51245b9b939f14b89d5b648c59,64,64
ADAMSKI,4,1,737Z8bAmJiUqg2I6Ru8fYV,https://i.scdn.co/image/41028b00792cec3a15ef085c8248d8db72f520fd,64,64
ADELE,8,2,4dpARuHxo51G3z768sgnrY,https://i.scdn.co/image/df070ad127f62d682596e515ac69d5bef56e0897,200,200
AFROJACK,3,1,4D75GcNG95ebPtNvoNVXhz,https://i.scdn.co/image/14a164482d5337c7afe402180c9aed8ab11a35bb,160,160
AFROMAN,3,1,4Icvbp9RDt5aY2TWDOVDsr,https://i.scdn.co/image/614cc23cd8903f315beb286f225dda7bf99a3d15,200,294
AKON,4,3,0z4gvV4rjIZ9wHck67ucSV,https://i.scdn.co/image/9e216997d45953cda66225a3ff889cc18829c604,160,160
AL MARTINO,9,1,7egNqIGRldMzifHoh8pib6,https://i.scdn.co/image/683e884da61a4a32932391e472e084ac2e9f444c,200,200
ALESSO,1,1,4AVFqumd2ogHFlRbKIjp1t,https://i.scdn.co/image/b3b78d08832531b74b8e6ea3c75c7fc1f906c799,160,160
ALEXANDRA BURKE,6,3,6yZoNdsPrYLviaEOOzbZt8,https://i.scdn.co/image/61133876ed278f9eb67f3059b3748c740d8df17c,200,246
ALICE COOPER,3,1,3EhbVgyfGd7HkpsagwL9GS,https://i.scdn.co/image/e3414b0554a2b8b6389d042a701647f795896e85,160,160
ALL SAINTS,7,5,5TDVKqW9uhqGjwwwKGuma4,https://i.scdn.co/image/309b628e185a3fe3b5c915df6d2087e7cf6723f0,200,200
ALMA COGAN,2,1,0oGo1uX2IixGBLb3fsiVnK,https://i.scdn.co/image/162822113341b3229461a612fb395aeef7b40c55,64,64
ALOE BLACC,1,1,0id62QV2SZZfvBn9xpmuCl,https://i.scdn.co/image/19a2009ef49ef0f7f7c5762feef136be13a886e3,200,267
ALTHEA AND DONNA,1,1,5E8FbSTegbOlYAH4b2rZj2,https://i.scdn.co/image/643124a580986b30a1e33ad247ee0506f3347e9c,64,64
ALVIN STARDUST,1,1,2yoCXbhsq5CqLCnzDR7a7l,https://i.scdn.co/image/72bec4e55a242b14782f60e2a4e2e0b005568b99,64,64
AME,2,1,0tMbQtD3YwrVFk9Lb6abmB,https://i.scdn.co/image/8215b89f4919b994646b29282f9d560f47918593,160,160
AMELLE BERRABAH,1,1,5K0LtWQV37Mfib2VsSg07R,,,
AMEN CORNER,2,1,6g3Qly1rAMIF5ymRwNWadi,https://i.scdn.co/image/ca18fbfee9beb7b095d0c17b1c16c5dd520df9e3,64,64
ANDY WILLIAMS,2,1,4sj6D0zlMOl25nprDJBiU9,https://i.scdn.co/image/c173d5383325e238db38d7fa7019100d36a2f58e,200,307
ANEKA,1,1,2IGQyVitQXADoOSROGLNJy,https://i.scdn.co/image/b9d6fcc38aeaf56cccb30deb7381d28a72732fb7,64,64
ANIMALS,1,1,5fyDppLDl1juIu1BcUT5zh,https://i.scdn.co/image/227f6f5b522f56ca30d64d3e5f6301e6464bd8ce,160,160
ANITA WARD,2,1,3Dd6jD1AApgtNoU6SJWR7P,https://i.scdn.co/image/f3bbbe6f481599b566f40b288a82fbef62b9bd5a,64,64
ANNE SHELTON,4,1,1Ug1gaXH8V5vrIHNyOTXrh,https://i.scdn.co/image/364d2970d354894294102ea8a1e84fe6404171d3,64,64
ANOTHER LEVEL,1,1,3kcqSqWEss8JZtHBE5IJzZ,https://i.scdn.co/image/ddb6c25b5e5573bafefc5ef2bb78791a95c13052,200,132
ANTHONY NEWLEY,5,2,5JXvJb6vQkSCFGCh4FCKOI,https://i.scdn.co/image/788f3adce0e1087c7d47ac285a982bb0792bc95c,200,200
AQUA,7,3,6kBjAFKyd0he7LiA5GQ3Gz,https://i.scdn.co/image/339f388e16c930a6fa8ab8016a0b14d92fc9c1b0,160,160
ARCHIES,8,1,33QmoCkSqADuQEtMCysYLh,https://i.scdn.co/image/1abc5a104154d1f9fc5c5a4390596f4ce7a0d5b1,64,64
ARCTIC MONKEYS,2,2,7Ln80lUS6He07XvHI8qqHH,https://i.scdn.co/image/e1f00ceabce8dd0480bad7e873993082d9ac3fe9,200,267
ARETHA FRANKLIN,2,1,7nwUJBm0HE4ZxD3f5cy5ok,https://i.scdn.co/image/a7bb8e17ab2e669b545482b7cf6dc63e4320f91c,200,200
ARIANA GRANDE,2,2,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/9ebcff1926ceca5c06e065824b25d4a5989a5a5b,200,133
ARMAND VAN HELDEN,3,2,3cQA9WH8liZfeja1DxcDYE,https://i.scdn.co/image/a933690cbbdf1a341a6e4dca36f689cb702b4a93,200,304
ART GARFUNKEL,8,2,6kEsKkXuE4olX7m3mNLZkS,https://i.scdn.co/image/c24c38d406713f784884914a1095e566591e8913,200,308
ARTISTS FOR GRENFELL,1,1,6FX5FKX939Ew7IflBzKfls,https://i.scdn.co/image/3f32177a88a759d77c17b18097aed0ab5d088426,64,64
ASHANTI,1,1,5rkVyNGXEgeUqKkB5ccK83,https://i.scdn.co/image/f9c038313ddafd02ac7473012bf095b118242f46,200,159
ASWAD,2,1,55LyOQNIa9J8wX6y6eJfc0,https://i.scdn.co/image/c81f6e98712d51a7930070f6cbf6c826996ece0a,200,199
